pl_name,hostname,discoverymethod,disc_year,sy_snum,sy_pnum,sy_dist,ra,dec,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass
"Kepler-30 d","Kepler-30","Transit",2012,1,3,914.22100000,285.2836483,38.9472625,143.34394000000,8.80000000,23.10000000,308.00,5498.00,0.950000,0.990000
"ROXs 42 B b","ROXs 42 B","Imaging",2013,2,1,143.59000000,247.8125493,-24.5455770,,12.50000000,2860.00000000,1975.00,3433.00,1.336580,1.000000
"HD 217107 c","HD 217107","Radial Velocity",2005,1,2,20.06190000,344.5647243,-2.3954489,4270.00000000000,12.90000000,1430.22783150,,5575.00,1.199310,0.980000
"HD 27894 b","HD 27894","Radial Velocity",2005,1,3,43.82140000,65.1975693,-59.4096776,18.01939000000,14.10000000,196.73578393,,4875.00,0.891767,0.810000
"Kepler-50 c","Kepler-50","Transit",2012,1,2,250.11000000,288.1009312,50.0336844,9.37647000000,2.17000000,8.20000000,1125.00,6225.00,1.580000,1.240000
"HD 233604 b","HD 233604","Radial Velocity",2013,1,1,847.05800000,137.4535054,53.5682016,192.00000000000,12.70000000,2089.64400000,,4791.00,10.900000,1.500000
"WD 0806-661 b","WD 0806-661","Imaging",2011,1,1,19.24440000,121.7275683,-66.3058835,,12.60000000,2542.62725600,340.00,9552.00,,0.620000
"Kepler-63 b","Kepler-63","Transit",2013,1,1,194.03300000,289.2262876,49.5482814,9.43415050000,6.11000000,120.00000000,791.00,5576.00,0.901000,0.984000
"Kepler-77 b","Kepler-77","Transit",2013,1,1,639.41100000,289.6079433,44.3454347,3.57878087000,10.76100000,136.66100000,1440.00,5520.00,0.990000,0.950000
"HAT-P-44 c","HAT-P-44","Radial Velocity",2014,1,2,347.85000000,213.1438604,47.0147826,872.20000000000,13.00000000,1271.30000000,,5295.00,0.949000,0.942000
"HATS-5 b","HATS-5","Transit",2014,1,1,246.38400000,67.2228465,-21.4820568,4.76338700000,10.22300000,75.32300000,1025.00,5304.00,0.871000,0.936000
"HD 10180 d","HD 10180","Radial Velocity",2010,1,6,38.96070000,24.4731133,-60.5114881,16.35700000000,,3295.88058059,,5911.00,1.109000,1.060000
"WTS-1 b","WTS-1","Transit",2012,1,1,2346.01000000,293.9850284,36.2962939,3.35205700000,16.70000000,1274.44000000,1500.00,6250.00,1.150000,1.200000
"HD 11506 d","HD 11506","Radial Velocity",2022,1,3,51.26100000,28.2106607,-19.5073960,26500.00000000000,12.30000000,4068.20360960,,6123.00,1.240000,1.220000
"CoRoT-26 b","CoRoT-26","Transit",2013,1,1,1045.18000000,279.7504991,6.9697828,4.20474000000,14.12000000,165.26000000,1600.00,5590.00,1.790000,1.090000
"CoRoT-25 b","CoRoT-25","Transit",2013,1,1,1103.48000000,280.6296561,6.5138223,4.86069000000,12.11000000,85.81000000,1330.00,6040.00,1.190000,1.090000
"Kepler-186 b","Kepler-186","Transit",2014,1,5,177.59400000,298.6527360,43.9549884,3.88679070000,1.07000000,1.24000000,571.00,3788.00,0.472000,0.478000
"91 Aqr b","91 Aqr","Radial Velocity",2013,3,1,44.03040000,348.9745031,-9.0878076,181.40000000000,13.10000000,1017.00000000,,4665.00,11.000000,1.400000
